IPF,FY,ORG_TYPE,REGION,STATE_CODE,tot_doll
37cce56e11e3314e567d42ba6c13aaa5,1985,Other Domestic NonProfit,North East,NY,437185.61294887285
69f7b69e30b21f34260d0f9ad753a8fa,1985,Research Institutes,North East,NY,15709217.431572756
8e967ad9c2d4a3d8bd2b53d17ade42ce,1985,Research Institutes,North East,MA,616814.0119097439
893000c45f9c8cacde8c64d690cccceb,1985,Medical Schools,North East,RI,14703849.458453672
5144bc3d103f1055d0e2262f3162967e,1985,Other Higher Education,North East,RI,4606751.6438913485
7af472373ff0a506d8246b551b60b06b,1985,Foreign,Foreign,,266158.0424935026
5dc92a1bfd39b22b04b54a904aadb333,1985,Other Higher Education,North East,PA,846230.5281566136
7a7568c0b92b5e9124b680cbc46a3d04,1985,Other Higher Education,North East,PA,137016.06471280917
50f290a37b7669037b0f3a59fd323ff5,1985,Foreign,Foreign,,259266.63649002058
03337ac8276ef9b10f14fdadf19d2b68,1985,Other Domestic NonProfit,Mid West,MI,704443.2469729179
a7b73048b9fbcb42a5bdfe3d321fa1ec,1985,Foreign,Foreign,,182456.37159540167
793a8e326dfc3fdf8862c4797a6791fc,1985,Other Domestic NonProfit,North East,NY,328035.34796404047
2196c9a436276ca50cc0d4a4014a7023,1985,Other Domestic NonProfit,Mid West,IL,2177930.746507887
63d86b350fefe5603287256831a49855,1985,Hospitals,North East,RI,994887.0968940287
c2f409d0eb6b2cb72b5bc2e469bf12f4,1985,Research Institutes,West,CA,2294522.214380214
6de6f06f3ed90e04ae91fe6fa624abf5,1985,Research Institutes,South,MD,484139.4380539206
3e863cd1e0c5e2b5b7d7565bc033a527,1985,Research Institutes,West,CA,463019.6960110197
428d8cd36ca0f73cf79620a348186db0,1985,Other Higher Education,South,AR,37869.55551231846
3a5e3ef6f336665a4de16e09051fa732,1985,Foreign,Foreign,PQ,413831.9304141582
2c504883d6dec4e92ddbf5aaec731480,1985,Domestic For Profit,North East,NJ,260138.726363166
fc2e1d661e986a9f1848c949f4b0f7f9,1985,Other Higher Education,West,CA,31076711.502523888
e7986c4f92a5c8b806d72f9037ac2297,1985,Other Higher Education,West,AK,349755.4416960786
b89d06a7b4bb1be8ff16f45ecfd5798c,1985,Other Higher Education,West,CA,619913.7226909915
5ea34f09941113bda7d851a15c3890ff,1985,Hospitals,North East,MA,87467882.70154431
ee0632e7baaf4990a1a2cb158473bbdf,1985,Other Domestic NonProfit,North East,PA,1446598.0620282616
c8113b8df22d20a3ca4fc6ca2723393a,1985,Foreign,Foreign,,114335.40811034033
8be88a036bbe5ed7e9d036d3bef9cb9b,1985,Other Domestic NonProfit,Mid West,NE,991243.9099312219
9e10a8cddf2aec4d0c8b149bcebfa580,1985,Foreign,Foreign,,145825.43649748556
277c86a6dbcebac4d5c9c69676cc6edf,1985,Research Institutes,West,WA,1858594.1801307362
87c9171d9da4a02a46a40a21e04690c2,1985,Research Institutes,North East,PA,304365.6909051633
17b01a3637b85963b15ce114da948514,1985,Research Institutes,Mid West,MO,53715.681581591605
be7e8cc5db91536f0fb721131645963f,1985,Other Domestic NonProfit,West,NM,673120.6851674843
88171a3ba37f0f851a7a3dc488a82d08,1985,Other Higher Education,Mid West,MN,244605.4152126564
9f7feaf57868a29e844fada8b74edb5e,1985,Other Domestic NonProfit,West,CA,794691.9115406123
0e8cd2d4222e20d8b57e0c5b97cfc340,1985,Research Institutes,West,CO,227978.8319288592
e7e28557aa3302dedcd4c1ca965b1547,1985,Research Institutes,West,CA,1786043.252716821
a9e4de5e9f63a7038ec325cdc02e0864,1985,Medical Schools,Mid West,OH,1948520.5498447288
41e6e65883a602b7b8903b22d2b91490,1985,Research Institutes,South,DC,4963916.689996992
1344403060f7d5cc0bb03b1114036290,1985,Foreign,Foreign,,58815.51157625283
e9be2580a3df5be244d4d038ce34dad6,1985,Other Domestic NonProfit,West,OR,4565415.847783707
9e97986799912692c9ca1762b8b3dfa4,1985,Research Institutes,West,CA,13387745.74559837
c4fc2172b5f393ebcef901231f6f5b32,1985,Other Higher Education,South,OK,488152.3155362973
9901daf2356177e98ee07ef639d20c01,1985,Research Institutes,North East,PA,2842125.1495498256
e4a5b89e515977788ad00a927e52a331,1985,Research Institutes,North East,PA,17404648.649718307
96af22d255be42454639508bd2ac23de,1985,Other Domestic NonProfit,Mid West,OH,1054135.4937641642
